Week,Apple: (Worldwide)
1/12/2013,34
8/12/2013,33
15/12/2013,34
22/12/2013,42
29/12/2013,36
5/1/2014,32
12/1/2014,30
19/1/2014,29
26/1/2014,31
2/2/2014,29
9/2/2014,27
16/2/2014,28
23/2/2014,29
2/3/2014,28
9/3/2014,28
16/3/2014,28
23/3/2014,26
30/3/2014,26
6/4/2014,26
13/4/2014,26
20/4/2014,28
27/4/2014,27
4/5/2014,27
11/5/2014,26
18/5/2014,25
25/5/2014,26
1/6/2014,34
8/6/2014,26
15/6/2014,25
22/6/2014,25
29/6/2014,26
6/7/2014,27
13/7/2014,26
20/7/2014,28
27/7/2014,29
3/8/2014,28
10/8/2014,28
17/8/2014,29
24/8/2014,30
31/8/2014,33
7/9/2014,100
14/9/2014,52
21/9/2014,47
28/9/2014,39
5/10/2014,36
12/10/2014,42
19/10/2014,40
26/10/2014,36
2/11/2014,35
9/11/2014,33
16/11/2014,33
23/11/2014,38
30/11/2014,33
7/12/2014,33
14/12/2014,34
21/12/2014,38
28/12/2014,34
4/1/2015,31
11/1/2015,29
18/1/2015,29
25/1/2015,30
1/2/2015,29
8/2/2015,28
15/2/2015,29
22/2/2015,28
1/3/2015,29
8/3/2015,50
15/3/2015,33
22/3/2015,30
29/3/2015,30
5/4/2015,34
12/4/2015,32
19/4/2015,33
26/4/2015,34
3/5/2015,30
10/5/2015,29
17/5/2015,30
24/5/2015,29
31/5/2015,30
7/6/2015,34
14/6/2015,30
21/6/2015,32
28/6/2015,38
5/7/2015,33
12/7/2015,33
19/7/2015,33
26/7/2015,31
2/8/2015,31
9/8/2015,31
16/8/2015,31
23/8/2015,33
30/8/2015,33
6/9/2015,62
13/9/2015,42
20/9/2015,43
27/9/2015,39
4/10/2015,36
11/10/2015,35
18/10/2015,35
25/10/2015,35
1/11/2015,35
8/11/2015,34
15/11/2015,34
22/11/2015,37
29/11/2015,36
6/12/2015,36
13/12/2015,35
20/12/2015,41
27/12/2015,37
3/1/2016,32
10/1/2016,30
17/1/2016,29
24/1/2016,30
31/1/2016,29
7/2/2016,29
14/2/2016,30
21/2/2016,30
28/2/2016,29
6/3/2016,28
13/3/2016,27
20/3/2016,42
27/3/2016,33
3/4/2016,31
10/4/2016,28
17/4/2016,28
24/4/2016,29
1/5/2016,28
8/5/2016,28
15/5/2016,28
22/5/2016,28
29/5/2016,27
5/6/2016,27
12/6/2016,31
19/6/2016,27
26/6/2016,27
3/7/2016,28
10/7/2016,30
17/7/2016,28
24/7/2016,30
31/7/2016,30
7/8/2016,28
14/8/2016,28
21/8/2016,29
28/8/2016,32
4/9/2016,66
11/9/2016,45
18/9/2016,42
25/9/2016,39
2/10/2016,36
9/10/2016,35
16/10/2016,34
23/10/2016,40
30/10/2016,35
6/11/2016,33
13/11/2016,34
20/11/2016,41
27/11/2016,36
4/12/2016,33
11/12/2016,36
18/12/2016,38
25/12/2016,41
1/1/2017,35
8/1/2017,32
15/1/2017,30
22/1/2017,30
29/1/2017,30
5/2/2017,29
12/2/2017,28
19/2/2017,29
26/2/2017,28
5/3/2017,28
12/3/2017,27
19/3/2017,32
26/3/2017,31
2/4/2017,29
9/4/2017,28
16/4/2017,29
23/4/2017,28
30/4/2017,29
7/5/2017,28
14/5/2017,28
21/5/2017,27
28/5/2017,27
4/6/2017,34
11/6/2017,30
18/6/2017,30
25/6/2017,30
2/7/2017,29
9/7/2017,29
16/7/2017,30
23/7/2017,30
30/7/2017,32
6/8/2017,31
13/8/2017,31
20/8/2017,30
27/8/2017,32
3/9/2017,31
10/9/2017,66
17/9/2017,43
24/9/2017,39
1/10/2017,37
8/10/2017,34
15/10/2017,33
22/10/2017,37
29/10/2017,38
5/11/2017,39
12/11/2017,37
19/11/2017,44
26/11/2017,40
3/12/2017,38
10/12/2017,38
17/12/2017,41
24/12/2017,50
31/12/2017,40
7/1/2018,35
14/1/2018,33
21/1/2018,32
28/1/2018,33
4/2/2018,32
11/2/2018,32
18/2/2018,31
25/2/2018,31
4/3/2018,30
11/3/2018,30
18/3/2018,30
25/3/2018,33
1/4/2018,30
8/4/2018,31
15/4/2018,29
22/4/2018,29
29/4/2018,31
6/5/2018,30
13/5/2018,30
20/5/2018,29
27/5/2018,30
3/6/2018,33
10/6/2018,30
17/6/2018,29
24/6/2018,30
1/7/2018,29
8/7/2018,30
15/7/2018,31
22/7/2018,31
29/7/2018,34
5/8/2018,32
12/8/2018,32
19/8/2018,31
26/8/2018,32
2/9/2018,32
9/9/2018,59
16/9/2018,42
23/9/2018,40
30/9/2018,37
7/10/2018,35
14/10/2018,35
21/10/2018,34
28/10/2018,41
4/11/2018,36
11/11/2018,37
18/11/2018,45
25/11/2018,43
